Source,Target,buyercod,sellercod,desig2,desc,nrdel,buyer,seller,tivunit,tivorder,tivdel,longSource,latSource,longDest,latDest
52,30,DRC,ITA,MB-326GB,Trainer/combat ac,17,DR Congo,Italy,2.35,39.95,39.95,12.56738,41.87194,65.865034,-25.559085
52,7,ETH,ITA,Bell-204B/UH-1B,Helicopter,6,Ethiopia,Italy,2.1,12.6,12.6,12.56738,41.87194,40.489673,9.145
52,98,GRE,ITA,Bell-205/UH-1D,Helicopter,25,Greece,Italy,2.2,55.0,55.0,12.56738,41.87194,21.824312,39.074208
52,16,IRA,ITA,Bell-205/UH-1D,Helicopter,25,Iran,Italy,2.2,55.0,55.0,12.56738,41.87194,53.688046,32.427908
52,16,IRA,ITA,Bell-206/OH-58,Light helicopter,25,Iran,Italy,0.7,17.5,17.5,12.56738,41.87194,53.688046,32.427908
52,64,ISR,ITA,Compact 76mm,Naval gun,6,Israel,Italy,2.5,15.0,15.0,12.56738,41.87194,34.851612,31.046051
52,64,ISR,ITA,Orion RTN-10X,Fire control radar,6,Israel,Italy,2.25,13.5,13.5,12.56738,41.87194,34.851612,31.046051
52,21,KUW,ITA,Bell-206/OH-58,Light helicopter,2,Kuwait,Italy,0.7,1.4,1.4,12.56738,41.87194,47.481766,29.31166
52,93,MAL,ITA,Model-56 105mm,Towed gun,100,Malaysia,Italy,0.45,45.0,45.0,12.56738,41.87194,101.975766,4.210484
52,33,MOR,ITA,Bell-205/UH-1D,Helicopter,24,Morocco,Italy,2.2,52.8,52.8,12.56738,41.87194,-7.09262,31.791702
52,89,SA,ITA,MB-326GB,Trainer/combat ac,151,South Africa,Italy,2.35,354.85,354.85,12.56738,41.87194,22.937506,-30.559482
52,89,SA,ITA,Orion RTN-10X,Fire control radar,3,South Africa,Italy,2.25,6.75,6.75,12.56738,41.87194,22.937506,-30.559482
52,79,SWE,ITA,Bell-206/OH-58,Light helicopter,10,Sweden,Italy,0.7,7.0,7.0,12.56738,41.87194,18.643501,60.128161
52,79,SWE,ITA,Bell-206/OH-58,Light helicopter,23,Sweden,Italy,0.7,16.1,16.1,12.56738,41.87194,18.643501,60.128161
52,79,SWE,ITA,PS-15,Air search radar,17,Sweden,Italy,4.75,80.75,80.75,12.56738,41.87194,18.643501,60.128161
52,49,TUR,ITA,Bell-205/UH-1D,Helicopter,56,Turkey,Italy,2.2,123.2,123.2,12.56738,41.87194,35.243322,38.963745
52,102,ZAM,ITA,Model-56 105mm,Towed gun,8,Zambia,Italy,0.45,3.6,3.6,12.56738,41.87194,27.849332,-13.133897
28,65,SIN,NET,Endeavour,Patrol craft,1,Singapore,Netherlands,5.0,5.0,5.0,5.291266,52.132633,103.819836,1.352083
32,35,USR,POL,An-2,Light transport ac,81,Soviet Union,Poland,1.0,82.0,81.0,19.145136,51.919438,65.865034,-25.559085
